,hostel.0me,City,price,Distance,Rating,Purchased,lat,lon
1,"""Bike & Bed"" CharinCo Hostel",Osaka,3300,2.9,9.2,1,34.682678,135.5137671
2,& And Hostel,Fukuoka-City,2600,0.7,9.5,1,0,0
3,&And Hostel Akihabara,Tokyo,3600,7.8,8.7,1,35.6974473,139.7774724
4,&And Hostel Ueno,Tokyo,2600,8.7,3.6,0,35.712716,139.783667
5,&And Hostel-Asakusa North-,Tokyo,1500,10.5,2.5,0,35.7278979,139.7983712
6,1night1980hostel Tokyo,Tokyo,2100,9.4,5.1,0,35.724384,139.7869499
7,328 Hostel & Lounge,Tokyo,3300,16.5,9.3,1,35.5480439,139.7454672
8,36Hostel,Hiroshima,2000,1.6,9.5,1,0,0
9,3Q House - Asakusa Smile,Tokyo,2500,10.2,4.1,0,0,0
10,Ace Inn Shinjuku,Tokyo,2200,3,7.7,1,35.6925119,139.7243036
11,Air Osaka Hostel,Osaka,1600,9.7,9.2,1,34.6222596,135.4769556
12,Aizuya Inn,Tokyo,2000,10.6,3.6,0,35.727547,139.800993
13,Akihabara Hotel 3000,Tokyo,2200,8,10,1,35.6974904,139.779382
14,Almond hostel & cafe Shibuya,Tokyo,2900,2.2,9.3,1,35.6700092,139.6875352
15,Anne Hostel Asakusabashi,Tokyo,2000,8.9,9.1,1,35.6989448,139.7893595
16,Anne Hostel Yokozu0,Tokyo,1800,9.5,9.1,1,35.6954897,139.7967977
17,Ark Hostel,Osaka,2700,1.9,9,1,1.3108203,103.8731349
18,ARTnSHELTER,Tokyo,2400,10.5,2.1,0,35.604242,139.742108
19,AS House (Asakusa Smile),Tokyo,1600,10,7.8,0,35.707363,139.800616
20,Asakusa Hostel Toukaisou,Tokyo,1300,9.3,1.3,0,35.713177,139.79081
21,Asakusa Ryokan Toukaisou,Tokyo,3600,9.3,8.7,0,35.713177,139.79081
22,Asakusahotel Wasou,Tokyo,2000,9.9,9.4,1,35.7118769,139.7966971
23,Astro Station,Tokyo,3500,3.8,8.4,1,35.7143962,139.7036929
24,B&S Eco Cube Shinsaibashi,Osaka,2600,4,8.6,1,34.6707458,135.4991771
25,Backpackers Hostel K's House Hiroshima,Hiroshima,2600,19.2,3.2,0,34.392506,132.473831
26,Backpackers Hostel K's House Kyoto,Kyoto,1800,2.4,9.2,1,34.989791,135.764916
27,Backpackers Hostel K's House Tokyo,Tokyo,2100,9.2,9.2,1,35.705066,139.792253
28,Backpackers Hotel Toyo Osaka,Osaka,1500,6.5,8.8,1,34.6483651,135.5041024
29,Backstage Osaka Hostel & Bar,Osaka,2200,4.5,4.3,0,34.6670083,135.513299
30,Beagle Tokyo Hostel & Apartments,Tokyo,3800,16.1,7.9,0,35.5504924,139.7410778
31,Bed Stock,Fukuoka-City,2500,1.1,6.2,0,0,0
32,Beehive Hostel Osaka,Osaka,2900,13.2,5.1,0,34.676892,135.508387
